Session_Name_	Trial_Index_	Trial_Recycled_	condition	text	question	expected_key	QUESTION_KEY_PRESSED	QUESTION_RT	QUESTION_ACCURACY	SENTENCE_RT	speechid	paragraphid	counterbalance	LAST_COUNTERBALANCE
P54	1	False	practice	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	3441	1327	-1	0	0
P54	2	False	practice	"Hej alle sammen!"	"NO QUESTION"	NA	.	-1	-1	1198	1327	0	0	0
P54	3	False	practice	"Som I allerede ved, vil vi om lidt tænde for et bål, der vil brænde et skab af – det skab, vi har følt os begrænset af, indelukket i, og som de fleste af os er brudt ud af for at kunne blive lykkeligere."	"NO QUESTION"	NA	.	-1	-1	21252	1327	1	0	0
P54	4	False	practice	"'Men skabe er da ganske praktiske til opbevaring af mangt og meget, ikke sandt?' Jo, opbevaring af værdier, det er rigtigt – men når vi først begynder at sætte spørgsmålstegn ved disse værdier, så føles skabet mere og mere trangt, for det kan ikke rumme vores ideer og følelser mere."	"NO QUESTION"	NA	.	-1	-1	24395	1327	2	0	0
P54	5	False	practice	"'Jamen hvad er der i det skab?' Der er en opfattelse af at kvinder og mænd skal tænke, føle, klæde sig og handle forskelligt – fordi nogle er kvinder og andre er mænd. Kønsroller kalder vi det. Men det rækker faktisk meget længere end bare til roller, vi spiller – rollerne invaderer vores tanker og vores følelser, så vi næsten ikke kan tænke uden for rollen, så længe skabet omslutter os, og i hvert fald først og fremmest føler vi må tage hensyn til dem, der er i skabet..."	"Spørgsmål:\nMener taleren at kønsroller både påvirker hvordan vi handler og tænker?"	1	1	9076	1	31048	1327	3	0	0
P54	6	False	practice	"Når vi endelig bryder ud af skabet og for alvor viser og siger det, der ikke passer i det normative skab, kan vi godt opleve negative reaktioner – men så sandelig også positive – for vi er jo slet ikke alene!"	"NO QUESTION"	NA	.	-1	-1	19785	1327	4	0	0
P54	7	False	practice	"Der er nemlig andre som ligner os mere eller mindre, vi er en broget og mangfoldig flok i alle aldre, hudfarver, kulturelle baggrunde, med og uden handicap, med og uden tro, af forskellig politisk overbevisning, og – vigtigst for os her: af flere forskellige kønsidentiteter og seksuelle orienteringer."	"NO QUESTION"	NA	.	-1	-1	24832	1327	5	0	0
P54	8	False	practice	"Fælles for os er, at vi er en regnbueminoritet i forhold til flertallets skab – men det betyder ikke at majoriteten har ret. Vi vil udefra informere om, at der er andre måder at se tingene på, tilbyde et alternativt syn på livet og verden, som kan hjælpe nogle – især børn og unge – ud af et skab, de mistrives i."	"Spørgsmål:\nMener taleren at minoriteter bør tie med deres verdenssyn?"	2	2	25830	1	22884	1327	6	0	0
P54	9	False	practice	"Lad os brænde skabet med normerne, så vi frigøres fra dem og får retten til at være dem, vi faktisk er!"	"NO QUESTION"	NA	.	-1	-1	7168	1327	7	0	0
P54	10	False	experiment	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	3224	11171	-1	3	3
P54	11	False	experiment	"Kære Alle\nMit navn er Andrea Rygg Karberg, og jeg startede 1. juni som ny direktør for Nivaagaards Malerisamling. Mine første 23 dage har været forrygende travle, skægge og glade. Jeg har set frem til at opleve også denne her smukke Nivaagaard-tradition, og jeg blev meget beæret, da jeg blev bedt om at holde årets båltale. En båltale er jo sådan en slags frit emne, så jeg har haft mange forskellige ideer – og jeg er endt med at ville tale om en række H’er: Sankt Hans – hedenskab – hekse – og Holger Drachmann."	"NO QUESTION"	NA	.	-1	-1	35856	11171	0	3	3
P54	12	False	experiment	"Det er faktisk i morgen, 24. juni, der altid har heddet sankthansdag – og aftenen inden er så sankthansaften – og denne Hans er det danske navn for Johannes Døberen, ham vi kan se i mange værker herinde i samlingen! Han var jo lidt af en dommedagsprædikant, der også banede vejen for profetens komme og døbte Jesus. Hans mor var i familie med Jomfru Maria, og når madonna af og til ses afbildet med to drengebørn, er den ene altid Jesusbarnet og den anden Johannes Døberen, der altså var netop et halvt år ældre end Jesus."	"NO QUESTION"	NA	.	-1	-1	52389	11171	1	3	3
P54	13	False	experiment	"Danskernes sankthansbål og sankthanstraditioner har for mig at se intet med Johannes Døberen at gøre. Det er gamle hedenske traditioner, der er overført til den kristne tid og har fået nye navne. Vi fejrer i dag, at vi sådan ca. har årets længste dag og årets korteste nat – ligesom vi har lagt Jesu fødselsdag ca. på den dag, hvor man altid har markeret årets korteste dag og længste nat. "	"NO QUESTION"	NA	.	-1	-1	25371	11171	2	3	3
P54	14	False	experiment	"Så selv om det ikke er til at holde ud at tænke på, handler dagen i dag om, at nu går vi mod mørkere tider!! Og det er jo fornuftigt at udskyde det længst muligt ved blandt andet at tænde et stort bål og nyde ildens lys som en hyldest til den livgivende sol, vi elsker og tit savner. I alle de såkaldt primitive religioner er solen den stærkeste guddom, og festen i dag er i sin grundvold herligt hedensk."	"NO QUESTION"	NA	.	-1	-1	27117	11171	3	3	3
P54	15	False	experiment	"Så er der det med heksene. Vi har i dag her på bålet en sjældent flot en af slagsen, som er lavet af de lokale spejder-juniorer, 'De Vilde Svaner', som jeg gerne vil sige en stor tak til. Jeg vil også gerne sige tak til en af vores mange fantastiske frivillige, John, som, når jeg er færdig, vil tænde bålet. "	"Spørgsmål:\nHar spejderne 'De Vilde Svaner' lavet heksen på bålet?"	1	1	4250	1	23923	11171	4	3	3
P54	16	False	experiment	"Jeg ved ikke, hvad Nivaagaards Malerisamling skulle gøre uden jeres mange talenter og store engagement, det er helt vidunderligt, at der er så mange, der gerne vil yde noget ekstra i en god sags tjeneste, som eksempelvis en kunstsamling i verdensklasse, der er givet i gave til os alle. Generøsitet er et nøgleord for Nivaagaards Malerisamling.
"	"NO QUESTION"	NA	.	-1	-1	30281	11171	5	3	3
P54	17	False	experiment	"Tilbage til H’erne og heksene. De kloge koner med kendskab til magi. Deres urgamle ritualer blev forbudt med kristendommen, de blev gjort til noget uhyggeligt i folkeeventyrene, hvor de vil spise Hans og Grethe, og det er først på det seneste med Harry Potter bøgerne, at de er blevet populære igen. Heksebrændingerne er et meget mørkt kapitel i historien."	"NO QUESTION"	NA	.	-1	-1	38716	11171	6	3	3
P54	18	False	experiment	"I Danmark intensiveredes heksejagten under Kong Christian IV, renæssancekongen, i den tid, vi også har mange billeder fra her i samlingen. Vi kender ham som en kunstnerisk sjæl og en stor bygherre – og så var han helt vild med kvinder. Han var en mægtig herre, men tit tog kvinderne magten over ham, de ødelagde hans koncentrationsevne – han blev kulret og tænkte sandsynligvis, at det aldrig kunne være hans egen skyld, men at kvindfolk simpelthen havde en særlig evne til at forhekse de stakkels mænd."	"NO QUESTION"	NA	.	-1	-1	51990	11171	7	3	3
P54	19	False	experiment	"Der findes mange nedskrevne retssager fra den tid, og det er frygteligt at tænke på, hvis man ikke selv i dag tror på hekse, hvad det er for faktorer, der har gjort visse kvinder til udstødte syndebukke og ofre for beskyldninger om at være hekse. Det har tit været de klogeste og smukkeste kvinder, som nogle var jaloux på, eller de svageste og fattigste, som var nemme at træde på. De benægtede alle til at starte med, men efter en passende mængde tortur indrømmede de deres heksekunster, som vi nok alle ville gøre."	"NO QUESTION"	NA	.	-1	-1	42598	11171	8	3	3
P54	20	False	experiment	"Jeg har læst om en ægtemand, der holdt en hel uge, før han indrømmede, at ja, hans kone var så en heks da. Og så blev de brændt, og med dem det onde selv, håbede man. Nogle århundreder senere kan tingene blive vendt på hovedet, og dermed hvem, der egentlig udførte den onde handling. Behovet for syndebukke er almenmenneskeligt og florerer til alle tider. "	"NO QUESTION"	NA	.	-1	-1	864	11171	9	3	3
P54	21	False	experiment	"Selv om det er helt utopisk, er det mit ønske, at den heks, vi brænder i aften, ikke er et menneske, men et symbol på al uretfærdighed. Lad os brænde behovet for syndebukke og påtage os ansvaret for vore egne handlinger. Lad os favne heksene, dem, der render rundt derude – og heksene i os selv. Der er gode og onde tilbøjeligheder i os alle, og hvis man vil stræbe efter at udrydde det onde, er det ganske fornuftigt at prøve at starte med sig selv."	"NO QUESTION"	NA	.	-1	-1	38246	11171	10	3	3
P54	22	False	experiment	"Og så er jeg nået til den kære Holger Drachmann, som jo har skrevet den midsommervise, vi om lidt skal synge, som John vil hjælpe med at dele ud. Teksten er så smuk, og jeg håber sådan, at vi kan leve op til digterens ord om, at vi vil kæmpe imod ufred, lidt selvmodsigende, men netop fordi vi vil have fred her til lands. Og Drachmann slutter med at sige, at freden kan vindes, hvor hjerterne aldrig bliver tvivlende kolde."	"Spørgsmål:\nHar Herman Drachmann skrevet midsommervisen?"	2	1	5521	0	31792	11171	11	3	3
